ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_19,Pre,3,Trial     5,Arena 2,4:14,27.2,0.259,532.226,31,360,0,532.226,31,360,0,NA,NA,NA,NA
GS_Pred_NM_36,Pre,1,Trial     9,Arena 3,10:42,25.5,0.341,547.233,23,15,1,547.233,23,15,1,NA,NA,NA,NA
GS_Pred_NM_32,Pre,3,Trial     8,Arena 3,3:30,27.4,0.38,577.638,21,360,0,577.638,21,360,0,NA,NA,NA,NA
GS_Pred_NM_30,Pre,1,Trial    1,Arena 4,10:42,26.3,0.355,591.541,31,175,1,591.541,31,175,1,NA,NA,NA,NA
GS_Pred_NM_27,Pre,1,Trial    11,Arena 3,11:44,25.8,0.331,596.272,32,10,1,596.272,32,10,1,NA,NA,NA,NA
GS_Pred_NM_9,Pre,1,Trial     7,Arena 1,4:15,27.1,0.255,599.787,22,360,0,599.787,22,360,0,NA,NA,NA,NA
GS_Pred_NM_10,Pre,1,Trial    1,Arena 3,10:42,26.3,0.325,618.27,30,13,1,618.27,30,13,1,NA,NA,NA,NA
GS_Pred_NM_36,Pre,3,Trial     1,Arena 2,2:30,26.4,0.346,678.896,22,360,0,678.896,22,360,0,NA,NA,NA,NA
GS_Pred_NM_39,Pre,1,Trial     8,Arena 4,4:45,27,0.27,728.311,25,0,1,728.311,25,0,1,NA,NA,NA,NA
GS_Pred_NM_20,Pre,1,Trial     8,Arena 1,4:45,27,0.235,807.356,27,360,0,807.356,27,360,0,NA,NA,NA,NA
GS_Pred_NM_2,Pre,1,Trial     2,Arena 1,11:53,26.6,0.321,837.797,30,360,0,837.797,30,360,0,NA,NA,NA,NA
GS_Pred_NM_1,Post,4,Trial     8,Arena 1,1:27,26.1,0.324,20.0589,1,360,0,NA,NA,NA,NA,20.0589,1,360,0
GS_Pred_NM_1,Post,5,Trial    14,Arena 4,3:55,26.6,0.345,651.303,20,360,0,NA,NA,NA,NA,651.303,20,360,0
GS_Pred_NM_1,Post,6,Trial    21,Arena 2,6:32,26.1,0.346,451.842,27,360,0,NA,NA,NA,NA,451.842,27,360,0
GS_Pred_NM_10,Post,4,Trial     5,Arena 1,12:11,26.2,0.345,635.196,25,360,0,NA,NA,NA,NA,635.196,25,360,0
GS_Pred_NM_10,Post,5,Trial    16,Arena 1,2:51,25.3,0.345,860.844,33,360,0,NA,NA,NA,NA,860.844,33,360,0
GS_Pred_NM_10,Post,6,Trial    28,Arena 2,4:13,26.5,0.336,610.85,30,360,0,NA,NA,NA,NA,610.85,30,360,0
